"year","month","trend","lower","upper"
1955,12,0.246791066627467,0.18749419289944,0.306087940355495
1956,12,0.243692189101059,0.184287400702389,0.303096977499729
1957,12,0.240728001051,0.181090784094348,0.300365218007652
1958,12,0.237964497620808,0.178194662904562,0.297734332337054
1959,12,0.235471409560724,0.17583408849978,0.295108730621668
1960,12,0.233333410047883,0.173928409976692,0.292738410119073
1961,12,0.231638907866141,0.172341709656285,0.290936106075998
1962,12,0.230476311799358,0.171071137726055,0.289881485872661
1963,12,0.22993403063139,0.170296360840799,0.289571700421981
1964,12,0.230100473146095,0.170330111278808,0.289870835013383
1965,12,0.231064817668401,0.171426886891867,0.290702748444934
1966,12,0.232919320687506,0.173513623945335,0.292325017429678
1967,12,0.235757008233683,0.176459028882615,0.295054987584751
1968,12,0.239670906337201,0.180264876228666,0.299076936445735
1969,12,0.244754041028329,0.185115455069452,0.304392626987206
1970,12,0.251099438337338,0.191328117680849,0.310870758993828
1971,12,0.258774296305761,0.19913538550438,0.318413207107141
1972,12,0.267742501020176,0.208335836763085,0.327149165277266
1973,12,0.277942110578424,0.218643223253448,0.337240997903399
1974,12,0.289311183078347,0.229904359104686,0.348718007052009
1975,12,0.301787776617786,0.242148564403782,0.36142698883179
1976,12,0.315309949294583,0.255538214273566,0.375081684315599
1977,12,0.329805405161514,0.270166320512901,0.389444489810126
1978,12,0.345160432091099,0.285753837397,0.404567026785199
1979,12,0.361250963910797,0.30195234343143,0.420549584390165
1980,12,0.377952934448061,0.318546450410247,0.437359418485875
1981,12,0.395142277530349,0.335503244917035,0.454781310143662
1982,12,0.412694926985116,0.35292282963585,0.472467024334383
1983,12,0.430505224339905,0.370864649081651,0.49014579959816
1984,12,0.448541141922602,0.389131077430374,0.50795120641483
1985,12,0.466789059761178,0.407483829638109,0.526094289884246
1986,12,0.485235357883603,0.425817614189152,0.544653101578055
1987,12,0.503866416317852,0.444209543031355,0.563523289604348
1988,12,0.522668615091893,0.462869594851094,0.582467635332692
1989,12,0.541631160185128,0.48195134285861,0.601310977511647
1990,12,0.560754561382679,0.501289115127773,0.620220007637584
1991,12,0.580042154421093,0.520661231806298,0.639423077035888
1992,12,0.599497275036922,0.539979143113573,0.65901540696027
1993,12,0.619123258966714,0.559336586551112,0.678909931382315
1994,12,0.638923441947019,0.578959755314091,0.698887128579946
1995,12,0.658895938524206,0.599010277999615,0.718781599048798
1996,12,0.679017978483918,0.619299972138668,0.738735984829169
1997,12,0.699261570421619,0.639577909860648,0.758945230982589
1998,12,0.719598722932769,0.659726709112317,0.779470736753221
1999,12,0.740001444612832,0.679810744058274,0.80019214516739
2000,12,0.76044174405727,0.700025811000671,0.820857677113869
2001,12,0.780899753950279,0.720516863716342,0.841282644184216
2002,12,0.801388103330989,0.741136754207121,0.861639452454857
2003,12,0.821927545327263,0.761690363181824,0.882164727472701
2004,12,0.842538833066964,0.782114424870861,0.902963241263067
2005,12,0.863242719677957,0.80252392412503,0.923961515230884
2006,12,0.884059958288104,0.823161530792968,0.94495838578324
2007,12,0.905020050723539,0.844217533998308,0.965822567448769
2008,12,0.926187493603478,0.865591399807959,0.986783587398997
2009,12,0.947635532245409,0.887127017446176,1.00814404704464
2010,12,0.969437411966819,0.908787713179682,1.03008711075396
2011,12,0.991666378085194,0.93070117994127,1.05263157622912
2012,12,1.01439567591802,0.953107157666231,1.07568419416982
2013,12,1.03767279876982,0.976138630063351,1.09920696747628
2014,12,1.06144223189318,0.999475496333205,1.12340896745315
2015,12,1.08562270852774,1.02268391974339,1.14856149731209
2016,12,1.11013296191313,1.04543428723338,1.17483163659288
2017,12,1.13489172528897,1.06755296696195,1.202230483616
2018,12,1.15981773189491,1.08897193850342,1.2306635252864
2019,12,1.18484087119535,1.10958136239961,1.2601003799911
2020,12,1.2099356575539,1.129103460008,1.29076785509979
2021,12,1.23508776155892,1.14728339833974,1.32289212477809
2022,12,1.2602828537988,1.16402341406157,1.35654229353602
2023,12,1.28550660486192,1.17940861267819,1.39160459704565
2024,12,1.31074468533666,1.19367270617434,1.42781666449897
2025,12,1.33598515404666,1.2071170356913,1.46485327240203
2026,12,1.36122562275667,1.21995836485353,1.50249288065982
2027,12,1.38646609146668,1.23234215761458,1.54059002531879
2028,12,1.41170656017669,1.24437384245485,1.57903927789853
2029,12,1.4369470288867,1.25613056819283,1.61776348958056
2030,12,1.46218749759671,1.2676695058862,1.65670548930721
2031,12,1.48742796630672,1.2790336085523,1.69582232406113
2032,12,1.51266843501672,1.29025559772487,1.73508127230858
2033,12,1.53790890372673,1.3013607381365,1.77445706931697
2034,12,1.56314937243674,1.31236878766283,1.81392995721066
2035,12,1.58838984114675,1.3232953837197,1.8534842985738
2036,12,1.61363030985676,1.33415304133373,1.89310757837979
2037,12,1.63887077856677,1.34495188076128,1.93278967637226
2038,12,1.66411124727678,1.35570016453679,1.97252233001676
2039,12,1.68935171598678,1.36640469861388,2.01229873335969
2040,12,1.71459218469679,1.37707113541717,2.05211323397642
2041,12,1.7398326534068,1.38770420527014,2.09196110154346
2042,12,1.76507312211681,1.39830789493327,2.13183834930035
2043,12,1.79031359082682,1.4088855866656,2.17174159498804
2044,12,1.81555405953683,1.41944016751916,2.2116679515545
2045,12,1.84079452824684,1.42997411596927,2.2516149405244
2046,12,1.86603499695684,1.44048957113019,2.29158042278349
2047,12,1.89127546566685,1.45098838847333,2.33156254286037
2048,12,1.91651593437686,1.46147218499797,2.37155968375575
2049,12,1.94175640308687,1.47194237609584,2.4115704300779
2050,12,1.96699687179688,1.48240020582628,2.45159353776747
